CODE_BAR,PRIX,TYPE_PROMO,NUM_PRODUIT,REDUCTION
5411188114581,2.99,reduction,2,68.0
5411188129554,2.52,reduction,2,68.0
3760257090717,3.25,reduction,2,60.0
3184670003251,2.21,combinaison,3,100.0
3760257090861,3.25,reduction,2,60.0
3760257090731,3.49,reduction,2,60.0
3560071406042,6.9,reduction,2,30.0
3700864014102,4.55,catalogue,1,0.0
3033491408700,2.99,combinaison,3,100.0
3033491408380,1.75,combinaison,3,100.0
3023290055441,1.49,catalogue,1,0.0
3023290055373,1.49,catalogue,1,0.0
3023290055403,1.49,catalogue,1,0.0
3276559956311,0.69,catalogue,1,0.0
3523680289819,3.67,catalogue,1,0.0
3276559955659,0.62,catalogue,1,0.0
3276552173258,3.67,catalogue,1,0.0
3276559957233,5.07,catalogue,1,0.0
3276558862781,2.18,catalogue,1,0.0
3276559954782,0.69,catalogue,1,0.0
3449865305375,4.75,combinaison,3,100.0
3449865302664,2.83,combinaison,3,100.0
3560071445614,2.19,economie,1,20.0
3560071445621,2.19,economie,1,20.0
3270190020288,2.39,economie,1,20.0
3451790934988,2.49,reduction,2,60.0
3451790934865,2.49,reduction,2,60.0
3412290016208,3.35,reduction,1,30.0
3412290005950,3.35,reduction,1,30.0
3155251208082,2.55,reduction,2,50.0
3155251207146,2.55,reduction,2,50.0
3154230800965,2.18,reduction,2,68.0
3154230801023,2.18,reduction,2,68.0
3265980157978,6.89,reduction,2,50.0
3560070948215,1.5,reduction,2,20.0
3560070949052,1.35,reduction,2,20.0
8028257010353,5.59,combinaison,3,100.0
3245390136046,2.79,reduction,2,20.0
3664042004456,2.79,catalogue,1,0.0
3245390026002,2.79,reduction,2,20.0
3560070901210,1.94,reduction,2,20.0
3228020481464,2.57,combinaison,3,100.0
3228022200032,2.1,combinaison,3,100.0
3228021170015,2.1,combinaison,3,100.0
3228020481808,1.6,combinaison,3,100.0
3245390032010,1.75,reduction,2,20.0
3560070900770,2.25,reduction,2,20.0
3245390032034,1.72,reduction,2,20.0
3560071437893,1.85,reduction,2,30.0
3083681150988,2.57,reduction,1,34.0
3245390025968,2.95,reduction,2,20.0
3449865302657,2.83,combinaison,3,100.0
3275461006558,11.99,catalogue,1,0.0
8028257014139,4.59,combinaison,3,100.0
8028257013354,4.65,combinaison,3,100.0
3498301007243,7.89,combinaison,3,100.0
3498301004433,7.89,combinaison,3,100.0
3498301003399,7.89,combinaison,3,100.0
3083681151015,2.57,reduction,1,34.0
3608580062004,3.29,reduction,1,34.0
3245390207838,3.79,reduction,2,20.0
8028257013385,4.29,combinaison,3,100.0
8028257010407,5.19,combinaison,3,100.0
3184670005224,2.34,combinaison,3,100.0
3184670005286,2.5,combinaison,3,100.0
3275240312313,1.95,reduction,1,30.0
3270190027447,2.35,economie,1,20.0
3245411851149,1.99,economie,1,20.0
3033491280122,1.15,catalogue,1,0.0
3451790010484,2.89,reduction,2,60.0
3033491529740,1.15,catalogue,1,0.0
3033491280115,1.15,catalogue,1,0.0
3023290165386,1.99,reduction,2,50.0
3023290165348,1.99,reduction,2,50.0
3023290165362,1.99,reduction,2,50.0
3023290165379,1.99,reduction,2,50.0
3245390135094,3.19,reduction,2,20.0
3184670010532,2.39,combinaison,3,100.0
3184670016503,3.25,combinaison,3,100.0
3245414658769,2.71,reduction,2,40.0
3560071003876,2.71,reduction,2,40.0
3245412435263,2.71,reduction,2,40.0
3184670006429,1.94,combinaison,3,100.0
3184670006627,2.3,combinaison,3,100.0
3184670007808,1.7,combinaison,3,100.0
3184670001547,2.02,combinaison,3,100.0
3184670006115,2.2,combinaison,3,100.0
3184670006924,2.2,combinaison,3,100.0
3184670008928,3.04,combinaison,3,100.0
3023290165355,1.99,reduction,2,50.0
3184670006610,2.34,combinaison,3,100.0
3184670009512,2.25,combinaison,3,100.0
3184670006603,2.3,combinaison,3,100.0
3184670006658,2.3,combinaison,3,100.0
3184670008089,2.43,combinaison,3,100.0
3184670006917,2.01,combinaison,3,100.0
3123930612499,2.84,catalogue,1,0.0
3560070753772,4.89,reduction,2,20.0
3184670001998,1.78,combinaison,3,100.0
3184670001141,1.74,combinaison,3,100.0
3184670001288,2.77,combinaison,3,100.0
3184670001080,2.35,combinaison,3,100.0
3184670001158,1.74,combinaison,3,100.0
3184670001363,1.8,combinaison,3,100.0
3184670001882,1.98,combinaison,3,100.0
3184670001165,2.99,combinaison,3,100.0
3184670001387,2.21,combinaison,3,100.0
3358150003820,2.84,combinaison,3,100.0
3184670003060,1.86,combinaison,3,100.0
3760257090977,3.65,reduction,2,60.0
3245390233714,3.35,reduction,2,20.0
3073781178005,4.05,reduction,2,60.0
3560070927388,3.05,reduction,2,20.0
3560070888665,3.19,reduction,2,20.0
3560070966219,3.19,reduction,2,20.0
3245390144683,4.55,reduction,2,20.0
3560070970490,3.15,reduction,2,20.0
3560070738588,3.69,reduction,2,20.0
3560070753741,2.79,reduction,2,20.0
3245390137838,2.79,reduction,2,20.0
3245390025951,3.09,reduction,2,20.0
3245390019998,2.59,reduction,2,20.0
3245390211095,4.15,reduction,2,20.0
3560070845644,3.45,reduction,2,20.0
3560070966158,2.09,reduction,2,20.0
3245390129840,4.89,reduction,2,20.0
3276557479447,3.18,catalogue,1,0.0
3560071230623,2.49,catalogue,1,0.0
3560071224950,3.38,reduction,2,30.0
3560070887514,5.16,reduction,2,30.0
3560070910786,7.26,reduction,2,30.0
3560070939114,6.47,reduction,2,20.0
3560070910571,4.39,reduction,2,30.0
3560070910601,3.29,reduction,2,30.0
3560070753895,3.29,reduction,2,30.0
3560070753833,4.61,reduction,2,30.0
3560070910540,4.39,reduction,2,30.0
3560070511891,3.95,reduction,2,30.0
3560070857494,9.05,reduction,2,30.0
3560070554331,3.59,reduction,2,30.0
3560071019006,1.67,reduction,2,30.0
3560070179886,1.65,reduction,2,30.0
3560071239916,2.59,reduction,2,30.0
3560070884445,1.69,reduction,2,20.0
3560071223472,3.38,reduction,2,30.0
3560071018696,6.37,reduction,2,30.0
3560070148752,1.95,reduction,2,30.0
3560070910458,1.67,reduction,2,30.0
3560070818105,3.81,reduction,2,30.0
3560071178437,3.29,reduction,2,30.0
3560070753925,3.16,reduction,2,30.0
3560070100514,1.95,reduction,2,30.0
3560070168538,3.05,reduction,2,30.0
3560070910427,1.67,reduction,2,30.0
3560070978489,1.67,reduction,2,30.0
3560070910489,1.67,reduction,2,30.0
3560071178468,6.93,reduction,2,30.0
3270190207702,3.65,reduction,2,30.0
3560070168651,2.75,reduction,2,30.0
3560070100453,2.15,reduction,2,30.0
3560070100484,2.09,reduction,2,30.0
3560070884490,5.72,reduction,2,20.0
3560071019891,1.69,reduction,2,30.0
3276555434349,3.1,catalogue,1,0.0
3123930715008,3.04,reduction,1,34.0
3276555434813,4.05,catalogue,1,0.0
3276559924181,4.18,catalogue,1,0.0
3090291118239,2.95,reduction,2,50.0
3276554644954,3.98,catalogue,1,0.0
3276555430075,3.26,catalogue,1,0.0
3228021170053,2.05,combinaison,3,100.0
3228021170077,2.1,combinaison,3,100.0
3305510066629,3.49,combinaison,3,100.0
3276558291703,4.34,catalogue,1,0.0
3276555434394,3.87,catalogue,1,0.0
3664042006191,2.79,catalogue,1,0.0
3276555430334,3.1,catalogue,1,0.0
3276559900321,5.26,catalogue,1,0.0
3523680347878,3.65,catalogue,1,0.0
3523680297487,3.22,catalogue,1,0.0
3276551823864,4.78,catalogue,1,0.0
3294580901247,10.9,catalogue,1,0.0
3294580900790,10.9,catalogue,1,0.0
3294580900011,10.9,catalogue,1,0.0
3033491024979,1.8,combinaison,3,100.0
3184670002049,1.98,combinaison,3,100.0
3329770078918,2.0,catalogue,1,0.0
3560070428014,4.05,reduction,2,20.0
3245390233851,4.19,reduction,2,20.0
3033491024818,1.96,combinaison,3,100.0
3449865281709,2.59,combinaison,3,100.0
3240931541198,5.06,catalogue,1,0.0
3240931541792,5.06,catalogue,1,0.0
3240931543086,5.06,catalogue,1,0.0
3560070338832,1.89,reduction,2,40.0
3560070581221,2.99,reduction,2,30.0
3292070001781,2.79,combinaison,3,100.0
3292070001576,1.99,combinaison,3,100.0
3449860419855,5.71,combinaison,3,100.0
3449865268274,5.84,combinaison,3,100.0
3449868241007,5.84,combinaison,3,100.0
3449860419831,5.64,combinaison,3,100.0
3560071423896,2.49,catalogue,1,0.0
8028257013323,3.69,combinaison,3,100.0
8028257013330,3.45,combinaison,3,100.0
8028257010445,5.69,combinaison,3,100.0
8028257013361,4.29,combinaison,3,100.0
8028257010360,5.19,combinaison,3,100.0
8028257012982,5.59,combinaison,3,100.0
8028257010346,6.69,combinaison,3,100.0
3449865292583,4.92,reduction,1,34.0
3449865293351,4.63,reduction,1,34.0
3449865298431,4.92,reduction,1,34.0
3292070001569,1.99,combinaison,3,100.0
3560071012854,2.09,reduction,2,30.0
3560071012861,2.09,reduction,2,30.0
3154230806875,4.29,catalogue,1,0.0
3154230806783,4.29,catalogue,1,0.0
8719200031449,3.17,reduction,2,50.0
8719200031524,1.69,reduction,2,50.0
8719200227170,5.5,reduction,2,50.0
8719200196612,2.4,reduction,2,50.0
3366321051198,3.39,reduction,2,60.0
3366321051181,3.39,reduction,2,60.0
3560070441778,2.45,reduction,2,20.0
3560070484560,2.85,economie,1,20.0
3449865356728,2.99,combinaison,3,100.0
3700009274101,7.25,reduction,2,68.0
3700009274170,7.25,reduction,2,68.0
3560070692798,1.1,reduction,2,30.0
3560070892075,3.09,reduction,2,20.0
3560071224981,3.29,reduction,2,30.0
8028257010414,4.09,combinaison,3,100.0
8028257013460,2.75,combinaison,3,100.0
3245412730627,1.09,reduction,2,40.0
3245412730535,1.09,reduction,2,40.0
3033490005221,1.75,combinaison,3,100.0
3033490005238,1.69,combinaison,3,100.0
3033491753558,1.75,combinaison,3,100.0
3033490005245,1.69,combinaison,3,100.0
3560070060252,0.79,economie,1,20.0
3245390058782,2.85,reduction,2,20.0
3560070753802,2.39,reduction,2,20.0
3560070874989,3.29,reduction,2,30.0
3700864007128,2.45,reduction,2,50.0
3184670006641,2.3,combinaison,3,100.0
3560070157198,1.65,iRemise,2,2.99
3270190022527,0.75,reduction,2,30.0
3270190022534,0.75,reduction,2,30.0
3240931547145,4.14,catalogue,1,0.0
3266140062200,5.45,catalogue,1,0.0
3700009274965,7.5,iRemise,2,12.0
3700009272725,7.5,iRemise,2,12.0
3700009274958,7.5,iRemise,2,12.0
3700009272718,7.5,iRemise,2,12.0
3700009272695,7.5,iRemise,2,12.0
3700009273258,7.79,catalogue,1,0.0
3700009274262,7.79,catalogue,1,0.0
3302740058776,4.49,combinaison,3,100.0
3302740030925,4.19,combinaison,3,100.0
3302740030901,4.29,combinaison,3,100.0
3302740044816,4.29,combinaison,3,100.0
3302740030970,4.49,combinaison,3,100.0
3302740030963,4.29,combinaison,3,100.0
3302740030932,4.19,combinaison,3,100.0
3302740044786,4.29,combinaison,3,100.0
3760257091035,4.55,reduction,2,60.0
3760257091011,4.55,reduction,2,60.0
3237550044636,7.9,catalogue,1,0.0
3449865355615,3.65,combinaison,3,100.0
3449865249853,5.32,combinaison,3,100.0
8028257010377,6.09,combinaison,3,100.0
3700009277355,3.99,catalogue,1,0.0
3700009277379,3.99,catalogue,1,0.0
